accession,gene,length,protein_name
Q9NWQ4,GPATCH2L,482,G patch domain-containing protein 2-like
Q9NWQ8,PAG1,432,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane adapter protein PAG) (Transmembrane phosphoprotein Cbp)
Q9NWQ9,C14orf119,140,Uncharacterized protein C14orf119
Q9NWR8,MCUB,336,"Calcium uniporter regulatory subunit MCUb, mitochondrial (MCUb) (Coiled-coil domain-containing protein 109B)"
Q9NWS0,PIH1D1,290,PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)
Q9NWS1,PARPBP,579,PCNA-interacting partner (PARI) (PARP-1 binding protein) (PARP1-binding protein) (PARPBP)
Q9NWS6,FAM118A,357,Protein FAM118A
Q9NWS8,RMND1,449,Required for meiotic nuclear division protein 1 homolog
Q9NWS9,ZNF446,450,Zinc finger protein 446 (Zinc finger protein with KRAB and SCAN domains 20)
Q9NWT1,PAK1IP1,392,p21-activated protein kinase-interacting protein 1 (PAK/PLC-interacting protein 1) (hPIP1) (PAK1-interacting protein 1) (WD repeat-containing protein 84)
Q9NWT6,HIF1AN,349,Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)
Q9NWT8,AURKAIP1,199,"Small ribosomal subunit protein bS22, mitochondrial (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Aurora kinase A-interacting protein) (AURKA-interacting protein) (Small ribosomal subunit protein mS38)"
Q9NWU1,OXSM,459,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase)"
Q9NWU2,GID8,228,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)
Q9NWU5,MRPL22,206,"Large ribosomal subunit protein uL22m (39S ribosomal protein L22, mitochondrial) (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)"
Q9NWV8,BABAM1,329,BRISC and BRCA1-A complex member 1 (Mediator of RAP80 interactions and targeting subunit of 40 kDa) (New component of the BRCA1-A complex)
Q9NWW5,CLN6,311,Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6)
Q9NWW6,NMRK1,199,Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)
Q9NWW9,PLAAT2,162,Phospholipase A and acyltransferase 2 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (HRAS-like suppressor 2)
Q9NWX5,ASB6,421,Ankyrin repeat and SOCS box protein 6 (ASB-6)
Q9NWX6,THG1L,298,Probable tRNA(His) guanylyltransferase (EC 2.7.7.79) (Induced in high glucose-1) (IHG-1) (Interphase cytoplasmic foci protein 45) (tRNA-histidine guanylyltransferase)
Q9NWY4,HPF1,346,Histone PARylation factor 1
Q9NWZ3,IRAK4,460,Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)
Q9NWZ5,UCKL1,548,Uridine-cytidine kinase-like 1 (EC 2.7.1.48)
Q9NWZ8,GEMIN8,242,Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)
Q9NX01,TXNL4B,149,Thioredoxin-like protein 4B (Dim1-like protein)
Q9NX02,NLRP2,1062,"NACHT, LRR and PYD domains-containing protein 2 (Nucleotide-binding site protein 1) (PYRIN domain and NACHT domain-containing protein 1) (PYRIN-containing APAF1-like protein 2)"
Q9NX04,AIRIM,203,AFG2-interacting ribosome maturation factor (Ribosome biogenesis protein C1orf109)
Q9NX07,TRNAU1AP,287,tRNA selenocysteine 1-associated protein 1 (SECp43) (tRNA selenocysteine-associated protein 1)
Q9NX08,COMMD8,183,COMM domain-containing protein 8
Q9NX09,DDIT4,232,DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)
Q9NX14,NDUFB11,153,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)"
Q9NX18,SDHAF2,166,"Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)"
Q9NX24,NHP2,153,H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)
Q9NX40,OCIAD1,245,OCIA domain-containing protein 1 (Ovarian cancer immunoreactive antigen domain containing 1) (Ovarian carcinoma immunoreactive antigen)
Q9NX46,ADPRS,363,ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)
Q9NX47,MARCHF5,278,E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (Mitochondrial ubiquitin ligase) (MITOL) (RING finger protein 153) (RING-type E3 ubiquitin transferase MARCHF5)
Q9NX52,RHBDL2,303,"Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]"
Q9NX55,HYPK,121,Huntingtin-interacting protein K (Huntingtin yeast partner K)
Q9NX57,RAB20,234,Ras-related protein Rab-20 (EC 3.6.5.2)
Q9NX58,LYAR,379,Cell growth-regulating nucleolar protein
Q9NX61,TMEM161A,479,Transmembrane protein 161A (Adaptive response to oxidative stress protein 29) (AROS-29)
Q9NX62,BPNT2,359,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)"
Q9NX63,CHCHD3,227,MICOS complex subunit MIC19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3)
Q9NX65,ZSCAN32,697,Zinc finger and SCAN domain-containing protein 32 (Human cervical cancer suppressor gene 5 protein) (HCCS-5) (Zinc finger protein 434)
Q9NX70,MED29,200,Mediator of RNA polymerase II transcription subunit 29 (Intersex-like protein) (Mediator complex subunit 29)
Q9NX74,DUS2,493,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like (EC 1.3.1.91) (Dihydrouridine synthase 2) (Up-regulated in lung cancer protein 8) (URLC8) (tRNA-dihydrouridine synthase 2-like) (hDUS2)
Q9NX76,CMTM6,183,CKLF-like MARVEL transmembrane domain-containing protein 6 (Chemokine-like factor superfamily member 6)
Q9NX78,TMEM260,707,Protein O-mannosyl-transferase TMEM260 (EC 2.4.1.109) (Transmembrane protein 260)
Q9NX94,WBP1L,342,WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)
Q9NX95,SYBU,663,Syntabulin (Golgi-localized syntaphilin-related protein) (Syntaxin-1-binding protein)
Q9NXA8,SIRT5,310,"NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)"
Q9NXB0,MKS1,559,Tectonic-like complex member MKS1 (Meckel syndrome type 1 protein)
Q9NXB9,ELOVL2,296,Very long chain fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Elongation of very long chain fatty acids protein 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)
Q9NXC2,GFOD1,390,Glucose-fructose oxidoreductase domain-containing protein 1 (Gfo/Idh/MocA-like oxidoreductase domain-containing protein 1)
Q9NXC5,MIOS,875,GATOR2 complex protein MIOS (Missing oocyte meiosis regulator homolog)
Q9NXE4,SMPD4,866,Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III)
Q9NXE8,CWC25,425,Pre-mRNA-splicing factor CWC25 homolog (Coiled-coil domain-containing protein 49) (Spliceosome-associated protein homolog CWC25)
Q9NXF1,TEX10,929,Testis-expressed protein 10
Q9NXF8,ZDHHC7,308,Palmitoyltransferase ZDHHC7 (EC 2.3.1.225) (Acyltransferase ZDHHC7) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 7) (DHHC-7)
Q9NXG0,CNTLN,1405,Centlein (Centrosomal protein)
Q9NXG2,THUMPD1,353,THUMP domain-containing protein 1
Q9NXG6,P4HTM,502,Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)
Q9NXH9,TRMT1,659,"tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA methyltransferase 1) (hTRM1) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)"
Q9NXI6,RNF186,227,E3 ubiquitin-protein ligase RNF186 (EC 2.3.2.27) (RING finger protein 186)
Q9NXJ5,PGPEP1,209,Pyroglutamyl-peptidase 1 (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl aminopeptidase I) (PAP-I) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrrolidone-carboxylate peptidase)
Q9NXK8,FBXL12,326,F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12) (F-box protein FBL12)
Q9NXL9,MCM9,1143,DNA helicase MCM9 (hMCM9) (EC 5.6.2.4) (DNA 3'-5' helicase MCM9) (Mini-chromosome maintenance deficient domain-containing protein 1) (Minichromosome maintenance 9)
Q9NXR1,NDE1,335,Nuclear distribution protein nudE homolog 1 (NudE)
Q9NXR5,ANKRD10,420,Ankyrin repeat domain-containing protein 10
Q9NXR7,BABAM2,383,BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)
Q9NXR8,ING3,418,Inhibitor of growth protein 3 (p47ING3)
Q9NXS2,QPCTL,382,Glutaminyl-peptide cyclotransferase-like protein (EC 2.3.2.5) (Golgi-resident glutaminyl-peptide cyclotransferase) (isoQC) (gQC)
Q9NXV2,KCTD5,234,BTB/POZ domain-containing protein KCTD5
Q9NXV6,CDKN2AIP,580,CDKN2A-interacting protein (Collaborator of ARF)
Q9NXW2,DNAJB12,375,DnaJ homolog subfamily B member 12
Q9NXW9,ALKBH4,302,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)
Q9NXX6,NSMCE4A,385,Non-structural maintenance of chromosomes element 4 homolog A (NS4EA) (Non-SMC element 4 homolog A)
Q9NXZ2,DDX43,648,Probable ATP-dependent RNA helicase DDX43 (EC 3.6.4.13) (Cancer/testis antigen 13) (CT13) (DEAD box protein 43) (DEAD box protein HAGE) (Helical antigen)
Q9NY12,GAR1,217,H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)
Q9NY15,STAB1,2570,"Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)"
Q9NY25,CLEC5A,188,C-type lectin domain family 5 member A (C-type lectin superfamily member 5) (Myeloid DAP12-associating lectin 1) (MDL-1)
Q9NY26,SLC39A1,324,Zinc transporter ZIP1 (Solute carrier family 39 member 1) (Zinc-iron-regulated transporter-like) (Zrt- and Irt-like protein 1) (ZIP-1) (hZIP1)
Q9NY27,PPP4R2,417,Serine/threonine-protein phosphatase 4 regulatory subunit 2
Q9NY28,GALNT8,637,Probable polypeptide N-acetylgalactosaminyltransferase 8 (EC 2.4.1.41) (Polypeptide GalNAc transferase 8) (GalNAc-T8) (pp-GaNTase 8) (Protein-UDP acetylgalactosaminyltransferase 8) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 8)
Q9NY30,BTG4,223,Protein BTG4 (BTG family member 4) (Protein PC3b)
Q9NY33,DPP3,737,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)
Q9NY35,CLDND1,253,Claudin domain-containing protein 1 (Claudin-25) (Membrane protein GENX-3745)
Q9NY37,ASIC5,505,"Bile acid-sensitive ion channel (BASIC) (Acid-sensing ion channel subunit family member 5) (Amiloride-sensitive cation channel 5, intestinal) (Human intestine Na(+) channel) (HINaC)"
Q9NY46,SCN3A,2000,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3)
Q9NY47,CACNA2D2,1150,Voltage-dependent calcium channel subunit alpha-2/delta-2 (Voltage-gated calcium channel subunit alpha-2/delta-2) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-2; Voltage-dependent calcium channel subunit delta-2]
Q9NY56,OBP2A,170,Odorant-binding protein 2a (Odorant-binding protein IIa) (OBPIIa)
Q9NY59,SMPD3,655,Sphingomyelin phosphodiesterase 3 (EC 3.1.4.12) (Neutral sphingomyelinase 2) (nSMase-2) (nSMase2) (Neutral sphingomyelinase II)
Q9NY61,AATF,560,Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)
Q9NY64,SLC2A8,477,"Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)"
Q9NY65,TUBA8,449,Tubulin alpha-8 chain (EC 3.6.5.-) (Alpha-tubulin 8) (Tubulin alpha chain-like 2) [Cleaved into: Dephenylalaninated tubulin alpha-8 chain]
Q9NY72,SCN3B,215,Sodium channel regulatory subunit beta-3
Q9NY74,ETAA1,926,Ewing's tumor-associated antigen 1 (Ewing's tumor-associated antigen 16)
Q9NY91,SLC5A4,659,Probable glucose sensor protein SLC5A4 (Solute carrier family 5 member 4)
Q9NY93,DDX56,547,Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)
Q9NY97,B3GNT2,397,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7)"
Q9NY99,SNTG2,539,Gamma-2-syntrophin (G2SYN) (Syntrophin-5) (SYN5)
Q9NYA1,SPHK1,384,Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-)
Q9NYA3,GOLGA6A,693,Golgin subfamily A member 6A (Golgin linked to PML) (Golgin-like protein)
Q9NYA4,MTMR4,1195,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR4 (EC 3.1.3.95) (FYVE domain-containing dual specificity protein phosphatase 2) (FYVE-DSP2) (Myotubularin-related protein 4) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Zinc finger FYVE domain-containing protein 11)"
Q9NYB0,TERF2IP,399,Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1)
Q9NYB5,SLCO1C1,712,Solute carrier organic anion transporter family member 1C1 (Organic anion transporter 1C1) (OATP1C1) (Organic anion transporter F) (OATP-F) (Organic anion transporter polypeptide-related protein 5) (OAT-RP-5) (OATP-RP5) (Organic anion-transporting polypeptide 14) (OATP-14) (Solute carrier family 21 member 14) (Thyroxine transporter)
Q9NYB9,ABI2,513,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1)
Q9NYC9,DNAH9,4486,Dynein axonemal heavy chain 9 (Axonemal beta dynein heavy chain 9) (Ciliary dynein heavy chain 9)
Q9NYD6,HOXC10,342,Homeobox protein Hox-C10 (Homeobox protein Hox-3I)
Q9NYF0,DACT1,836,Dapper homolog 1 (hDPR1) (Dapper antagonist of catenin 1) (Hepatocellular carcinoma novel gene 3 protein)
Q9NYF8,BCLAF1,920,Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)
Q9NYG2,ZDHHC3,299,Palmitoyltransferase ZDHHC3 (EC 2.3.1.225) (Acyltransferase ZDHHC3) (EC 2.3.1.-) (Protein DHHC1) (Zinc finger DHHC domain-containing protein 3) (DHHC-3)
Q9NYG5,ANAPC11,84,Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)
Q9NYG8,KCNK4,393,Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (K2P4.1) (Two pore K(+) channel KT4.1)
Q9NYH9,UTP6,597,U3 small nucleolar RNA-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein)
Q9NYI0,PSD3,1048,PH and SEC7 domain-containing protein 3 (Epididymis tissue protein Li 20mP) (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D) (Exchange factor for ARF6 D) (Hepatocellular carcinoma-associated antigen 67) (Pleckstrin homology and SEC7 domain-containing protein 3)
Q9NYJ7,DLL3,618,Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3)
Q9NYJ8,TAB2,693,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TAK1-binding protein 2) (TAB-2) (TGF-beta-activated kinase 1-binding protein 2)
Q9NYK1,TLR7,1049,Toll-like receptor 7
Q9NYK5,MRPL39,338,"Large ribosomal subunit protein mL39 (39S ribosomal protein L39, mitochondrial) (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5)"
Q9NYK6,EURL,297,Protein EURL homolog
Q9NYL2,MAP3K20,800,Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase 7) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)
Q9NYL5,CYP39A1,469,24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.26) (Cytochrome P450 39A1) (hCYP39A1) (Oxysterol 7-alpha-hydroxylase)
Q9NYM4,GPR83,423,G-protein coupled receptor 83 (G-protein coupled receptor 72)
Q9NYM9,BET1L,111,BET1-like protein (Golgi SNARE with a size of 15 kDa) (GOS-15) (GS15) (Vesicle transport protein GOS15)
Q9NYP3,DONSON,566,Protein downstream neighbor of Son (B17)
Q9NYP7,ELOVL5,299,Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Elongation of very long chain fatty acids protein 5) (Fatty acid elongase 1) (hELO1) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)
Q9NYP8,EPCIP,219,Exosomal polycystin-1-interacting protein (B37) (Polycystin-1-interacting protein 1)
Q9NYP9,MIS18A,233,Protein Mis18-alpha (FAPP1-associated protein 1)
Q9NYQ3,HAO2,351,"2-Hydroxyacid oxidase 2 (HAOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Cell growth-inhibiting gene 16 protein) (Long chain alpha-hydroxy acid oxidase) (Long-chain L-2-hydroxy acid oxidase)"
Q9NYQ6,CELSR1,3014,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2)
Q9NYQ7,CELSR3,3312,Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2)
Q9NYQ8,FAT2,4349,Protocadherin Fat 2 (hFat2) (Cadherin family member 8) (Multiple epidermal growth factor-like domains protein 1) (Multiple EGF-like domains protein 1)
Q9NYR8,RDH8,311,Retinol dehydrogenase 8 (EC 1.1.1.300) (Photoreceptor outer segment all-trans retinol dehydrogenase) (Short chain dehydrogenase/reductase family 28C member 2)
Q9NYR9,NKIRAS2,191,NF-kappa-B inhibitor-interacting Ras-like protein 2 (I-kappa-B-interacting Ras-like protein 2) (Kappa B-Ras protein 2) (KappaB-Ras2)
Q9NYS0,NKIRAS1,192,NF-kappa-B inhibitor-interacting Ras-like protein 1 (I-kappa-B-interacting Ras-like protein 1) (Kappa B-Ras protein 1) (KappaB-Ras1)
Q9NYU1,UGGT2,1516,UDP-glucose:glycoprotein glucosyltransferase 2 (UGT2) (hUGT2) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase 2) (UDP-glucose ceramide glucosyltransferase-like 1)
Q9NYU2,UGGT1,1555,UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (hUGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)
Q9NYV4,CDK12,1490,"Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)"
Q9NYV6,RRN3,651,RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA)
Q9NYV7,TAS2R16,291,Taste receptor type 2 member 16 (T2R16)
Q9NYV8,TAS2R14,317,Taste receptor type 2 member 14 (T2R14) (Taste receptor family B member 1) (TRB1)
Q9NYW0,TAS2R10,307,Taste receptor type 2 member 10 (T2R10) (Taste receptor family B member 2) (TRB2)
Q9NYW4,TAS2R5,299,Taste receptor type 2 member 5 (T2R5)
Q9NYW5,TAS2R4,299,Taste receptor type 2 member 4 (T2R4)
Q9NYW8,RBAK,714,RB-associated KRAB zinc finger protein (RB-associated KRAB repressor) (hRBaK) (Zinc finger protein 769)
Q9NYX4,CALY,217,Neuron-specific vesicular protein calcyon
Q9NYY1,IL20,176,Interleukin-20 (IL-20) (Cytokine Zcyto10)
Q9NYY3,PLK2,685,Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)
Q9NYY8,FASTKD2,710,"FAST kinase domain-containing protein 2, mitochondrial"
Q9NYZ1,TVP23B,205,Golgi apparatus membrane protein TVP23 homolog B
Q9NYZ2,SLC25A37,338,Mitoferrin-1 (Mitochondrial iron transporter 1) (Mitochondrial solute carrier protein) (Solute carrier family 25 member 37)
Q9NYZ3,GTSE1,739,G2 and S phase-expressed protein 1 (GTSE-1) (Protein B99 homolog)
Q9NYZ4,SIGLEC8,499,Sialic acid-binding Ig-like lectin 8 (Siglec-8) (Sialoadhesin family member 2) (SAF-2)
Q9NZ01,TECR,308,"Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)"
Q9NZ08,ERAP1,941,Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator)
Q9NZ09,UBAP1,502,Ubiquitin-associated protein 1 (UBAP-1) (Nasopharyngeal carcinoma-associated gene 20 protein)
Q9NZ20,PLA2G3,509,Group 3 secretory phospholipase A2 (EC 3.1.1.4) (Group III secretory phospholipase A2) (GIII sPLA2) (sPLA2-III) (Phosphatidylcholine 2-acylhydrolase 3)
Q9NZ42,PSENEN,101,Gamma-secretase subunit PEN-2 (Presenilin enhancer protein 2)
Q9NZ43,USE1,259,Vesicle transport protein USE1 (Putative MAPK-activating protein PM26) (USE1-like protein) (p31)
Q9NZ45,CISD1,108,CDGSH iron-sulfur domain-containing protein 1 (Cysteine transaminase CISD1) (EC 2.6.1.3) (MitoNEET)
Q9NZ52,GGA3,723,"ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)"
Q9NZ53,PODXL2,605,Podocalyxin-like protein 2 (Endoglycan)
Q9NZ56,FMN2,1722,Formin-2
Q9NZ63,C9orf78,289,Splicing factor C9orf78 (Hepatocellular carcinoma-associated antigen 59)
Q9NZ71,RTEL1,1219,Regulator of telomere elongation helicase 1 (EC 5.6.2.-) (Novel helicase-like)
Q9NZ72,STMN3,180,Stathmin-3 (SCG10-like protein)
Q9NZ81,PRR13,148,Proline-rich protein 13 (Taxane-resistance protein)
Q9NZ94,NLGN3,848,Neuroligin-3 (Gliotactin homolog)
Q9NZA1,CLIC5,410,Chloride intracellular channel protein 5 (Glutaredoxin-like oxidoreductase CLIC5) (EC 1.8.-.-)
Q9NZB2,FAM120A,1118,Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated SRC activator) (Protein FAM120A)
Q9NZB8,MOCS1,636,"Molybdenum cofactor biosynthesis protein 1 (Cell migration-inducing gene 11 protein) (Molybdenum cofactor synthesis-step 1 protein A-B) [Includes: GTP 3',8-cyclase (EC 4.1.99.22) (MOCS1A) (Molybdenum cofactor biosynthesis protein A); Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (MOCS1B) (Molybdenum cofactor biosynthesis protein C)]"
Q9NZC2,TREM2,230,Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2)
Q9NZC3,GDE1,331,Glycerophosphodiester phosphodiesterase 1 (Glycerophosphoinositol glycerophosphodiesterase GDE1) (EC 3.1.4.44) (Lysophospholipase D GDE1) (EC 3.1.4.-) (Membrane-interacting protein of RGS16) (RGS16-interacting membrane protein)
